proprety_type,surface,bedroom,bathroom,address,city,principale,price_dh
Apartment,144.0,2,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,4964688.0
House,590.01,5,5,"Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,22207386.39
House,300.0,3,2,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,11877300.0
House,500.0,4,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,16003500.0
House,81.0,2,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,2842047.0
House,240.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,9255120.0
House,220.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,8575600.0
Apartment,106.0,2,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,3101666.0
Apartment,70.0,2,1,"Rue 08, No.42 No.Hay Moulay Dris Asilah Morocco, Asilah, Tanger, Province de",Asilah,Tanger-Tétouan-Al Hoceïma,774060.0
Apartment,120.0,2,2,"Moulay Bousselham, Rabat-Salé-Kénitra",Rabat,Rabat-Salé-Kénitra,4168200.0
House,306.0,5,4,"AGADIR, Souss-Massa 80000",Agadir,Souss-Massa,3587238.0
House,443.0,4,4,"Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,13499539.0
House,533.0,4,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,15461264.0
House,298.0,4,1,Marrakech-Safi,Marrakech,Marrakech-Safi,10963420.0
House,210.0,3,1,Marrakech-Safi,Marrakech,Marrakech-Safi,5742870.0
Apartment,169.0,3,1,Marrakech-Safi,Marrakech,Marrakech-Safi,4593758.0
House,320.0,4,4,Marrakech-Safi,Marrakech,Marrakech-Safi,9807360.0
Apartment,172.0,3,2,Marrakech-Safi,Marrakech,Marrakech-Safi,4303440.0
Apartment,54.0,1,1,Marrakech-Safi,Marrakech,Marrakech-Safi,2136348.0
House,340.0,4,2,Marrakech-Safi,Marrakech,Marrakech-Safi,8802260.0
House,84.0,2,1,Marrakech-Safi,Marrakech,Marrakech-Safi,3311112.0
House,378.0,4,1,Marrakech-Safi,Marrakech,Marrakech-Safi,11772054.0
House,157.94,10,10,"MARRAKECH, Marrakesh-Safi 40000",Marrakech,Marrakech-Safi,5533743.78
Apartment,123.0,4,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,4453830.0
Apartment,70.0,2,1,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,2745540.0
House,500.0,4,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,16546500.0
House,320.0,5,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,9417600.0
Apartment,75.0,2,1,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,2004750.0
Apartment,140.0,2,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,4756220.0
House,424.1,3,2,"Sidi Abdallah Ghiat, Sidi Abdallah Ghiat, Marrakech-Safi",Sidi abdallah ghiat,Marrakech-Safi,3480164.6
House,111.48,5,5,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3994997.2800000003
House,365.0,3,1,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,12500520.0
House,180.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6891480.0
House,180.0,4,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,4775400.0
House,111.48,4,3,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3576389.8800000004
House,180.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6491700.0
House,240.0,4,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,8940240.0
House,400.0,5,5,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,14507600.0
House,555.01,4,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,19858257.8
House,400.0,3,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,14903600.0
House,445.0,4,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,15687140.0
House,500.0,5,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,19538500.0
House,140.0,3,1,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,3658900.0
House,300.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,8659200.0
House,214.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,8012160.0
House,245.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,9550100.0
House,346.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,12488870.0
Apartment,38.09,4,4,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,1362707.84
Apartment,69.0,2,1,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,2696451.0
House,150.0,3,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,4873200.0
House,250.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,9286500.0
House,200.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6168600.0
House,222.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,7009650.0
House,200.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,7713400.0
House,130.0,2,1,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5008120.0
House,380.0,5,5,"Agadir, Souss-Massa 80000",Agadir,Souss-Massa,3557560.0
House,550.0,5,4,"MARRAKECH, Marrakesh-Safi",Marrakech,Marrakech-Safi,18653800.0
House,300.0,3,3,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,7584300.0
Apartment,92.0,1,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,3222852.0
House,417.0,3,4,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,12642189.0
Apartment,154.0,2,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,4930464.0
House,450.0,5,5,"marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,12258450.0
House,300.0,3,2,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,8018100.0
House,480.0,4,4,"Marrakesh, Massachusetts 01773",Marrakech,Marrakech-Safi,15306240.0
House,94.76,5,5,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3198055.24
House,170.76,10,8,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,6703696.08
House,150.0,5,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5138400.0
House,380.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,13844160.0
House,260.0,6,6,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,7118280.0
House,156.0,2,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5509452.0
House,130.06,8,8,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,4446881.46
House,427.35,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,16638444.9
House,270.0,4,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,10004580.0
Apartment,131.0,3,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,4611200.0
Apartment,149.0,3,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,5101909.0
Apartment,183.0,3,1,"Bouknadel, Salé",Salé,Rabat-Salé-Kénitra,1775466.0
House,197.7,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,7534940.1
House,200.0,6,6,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,7114600.0
House,550.01,1,1,"El Menzeh, Skhirat-Témara",Skhirat,Rabat-Salé-Kénitra,5030941.47
House,92.9,4,3,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3557977.1
House,120.0,3,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,3277200.0
Apartment,122.0,1,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,3890092.0
Apartment,98.0,2,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,3231942.0
House,567.01,5,5,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,14987775.33
House,360.0,4,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,11797200.0
House,492.0,4,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,18814080.0
House,500.0,4,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,14120000.0
Apartment,126.0,2,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,4384674.0
House,568.01,4,5,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,24922574.77
Apartment,84.0,2,1,"Bouknadel, Salé",Salé,Rabat-Salé-Kénitra,780528.0
House,599.01,1,9,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,20338186.53
House,418.0,1,1,"Marrakech, Marrakech-Ménara",Marrakech,Marrakech-Safi,16167404.0
Apartment,100.0,2,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,4852200.0
Apartment,80.0,2,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,2584160.0
House,325.0,4,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,8926775.0
House,145.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5201295.0
House,252.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,7252308.0
House,230.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6631820.0
House,216.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6620616.0
House,216.0,3,2,"DR Oubaha, Tamraght, Agadir",Tamraght,Agadir,2237976.0
House,197.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5729548.0
House,320.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,11838080.0
House,216.0,3,2,"DR Oubaha, Agadir, Souss-Massa 8000",Agadir,Souss-Massa,2257632.0
House,125.42,4,4,"Sidi Belyout, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,4574569.08
House,500.0,8,8,"Taroudant, Souss-Massa",Agadir,Souss-Massa,5732500.0
House,380.0,5,5,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,13808440.0
House,116.13,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,4013104.4099999997
House,390.0,4,4,"Marrakesh, Marrakesh-Safi",Marrakech,Marrakech-Safi,11537760.0
House,400.0,6,5,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,14966400.0
House,270.0,5,2,"184 Souiria Kadima, Safi, Safi, Province de",Safi,Marrakech-Safi,2567430.0
House,102.19,4,4,"Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3421219.01
House,270.0,5,2,"Souiria Kadima 184, Safi, Marrakesh-Safi",Safi,Marrakech-Safi,2587140.0
Apartment,92.9,4,4,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,3595601.6
House,120.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,4560120.0
House,320.0,5,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,8216640.0
House,240.0,6,5,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,8092800.0
House,170.0,3,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6507260.0
House,350.0,3,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,11538100.0
House,157.94,5,5,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,4693660.92
House,250.84,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,8441518.52
House,87.7,5,5,"Route de Tahanaout, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,2675990.1
House,88.72,5,5,"Sidi Belyout, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,4267698.16
House,125.33,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,4925719.66
House,124.03,5,5,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3720775.97
House,83.61,4,4,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,3176929.17
House,250.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6493000.0
House,440.0,9,9,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,14319800.0
House,171.0,4,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,4339467.0
House,400.0,7,6,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,11941600.0
House,200.0,3,2,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6714800.0
House,220.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5631340.0
House,171.0,4,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,4502943.0
House,320.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,11331520.0
House,100.0,2,2,"Rue Zallaqa 3 Essaouira Morocco, Essaouira, Essaouira, Province d'",Essaouira,Essaouira,978400.0
House,225.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,8769150.0
House,200.0,5,5,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5423000.0
House,390.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,11807250.0
Apartment,89.0,2,2,"Tanger, Tanger-Tétouan-Al Hoceïma",Tanger,Tanger-Tétouan-Al Hoceïma,1535962.0
House,400.0,7,7,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,14288000.0
House,270.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,9523440.0
House,240.0,4,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6698160.0
House,160.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5198880.0
House,454.0,6,6,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,11688684.0
House,491.0,5,5,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,19025268.0
House,321.0,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,12013425.0
House,126.0,5,5,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3165624.0
Apartment,92.0,2,2,"Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,4161988.0
House,288.0,3,3,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,7927776.0
Apartment,131.0,2,2,"Marrakech, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3436130.0
Apartment,115.0,3,2,"Gueliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,2924450.0
House,308.0,4,6,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,8223600.0
House,124.0,5,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,4665376.0
House,476.0,5,5,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,13845888.0
House,538.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,18593280.0
Apartment,194.0,2,2,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,5544714.0
Apartment,48.0,2,2,"Moulay-Bousselham, Moulay-Bousselham, Rabat-Salé-Kénitra",Moulay-bousselham,Rabat-Salé-Kénitra,456288.0
Apartment,166.0,2,2,"Essaouira, Essaouira, Marrakesh-Safi",Essaouira,Marrakesh-Safi,1637258.0
House,258.0,5,5,"Essaouira, Essaouira, Marrakesh-Safi",Essaouira,Marrakesh-Safi,2437584.0
Apartment,150.0,2,2,"Essaouira, Essaouira, Marrakesh-Safi",Essaouira,Marrakesh-Safi,1356600.0
Apartment,159.0,2,1,"1, Essaouira, Morocco, Essaouira, Marrakesh-Safi",Essaouira,Morocco,1292193.0
House,184.0,5,3,"IMI OUADDAR, Souss-Massa",Agadir,Souss-Massa,1821784.0
Apartment,76.0,4,2,"Tétouan, Tétouan, Tangier-Tétouan-Al Hoceima",Tétouan,Tanger-Tétouan-Al Hoceïma,871416.0
House,217.0,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,6202945.0
House,172.0,3,2,"Unnamed Road, Chtouka Ait Baha Province, Souss-Massa-Draa",Chtouka ait baha province,Souss-Massa-Draa,1447552.0
House,522.0,3,2,"Ménara, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,14192658.0
House,144.0,9,16,"Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,4130064.0
Apartment,40.0,2,1,"Guéliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,1449800.0
Apartment,91.0,2,1,"No.Hay Moulay Dris Asilah Morocco Rue 08, No.42, Asilah, Tangier-Tétouan-Al Hoceima",No.hay moulay dris asilah morocco rue 08,Tanger-Tétouan-Al Hoceïma,1038947.0
Apartment,125.0,3,2,"Mallalienne, Mallalienne, Tangier-Tétouan-Al Hoceima",Mallalienne,Tangier-Tétouan-Al Hoceima,1347250.0
House,193.0,7,6,Marrakech-Safi,Marrakech,Marrakech-Safi,6502749.0
Apartment,48.0,3,1,Marrakech-Safi,Marrakech,Marrakech-Safi,1311312.0
Apartment,63.0,3,3,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,2201787.0
House,276.0,3,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,9853476.0
Apartment,64.0,2,2,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,2042112.0
House,386.0,5,2,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,16243266.0
House,255.0,1,5,"Tanger, Tanger-Asilah",Tanger,Tanger-Tétouan-Al Hoceïma,2778225.0
House,81.0,5,6,"Agadir, Souss-Massa 80000",Agadir,Souss-Massa,698301.0
House,474.0,4,3,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,18293556.0
House,515.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,18312885.0
Apartment,162.0,4,3,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,6308442.0
House,420.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,14939400.0
House,228.0,4,5,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,6509628.0
House,441.0,6,6,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,13816530.0
House,372.0,3,4,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,11651040.0
House,467.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,13783505.0
House,223.0,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,5624506.0
House,331.0,7,7,"El Jadida, Casablanca-Settat 24000",Casablanca,Casablanca-Settat,12480686.0
House,351.0,4,4,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,12177594.0
House,524.0,4,4,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,18804264.0
House,502.0,8,11,"Ménara, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,18999696.0
House,207.0,5,4,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,6886683.0
House,539.0,4,4,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,18485544.0
House,275.0,4,4,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,8306100.0
House,87.0,4,4,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,2490549.0
Apartment,142.0,2,2,"Maârif, Casablanca, Grand Casablanca",Casablanca,Casablanca-Settat,4652630.0
House,106.0,2,2,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,3899316.0
Apartment,64.0,3,2,"Guéliz, Marrakech, Marrakech-Safi 40000",Marrakech,Marrakech-Safi,2494784.0
Apartment,44.0,3,2,"Agdal, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,1195612.0
House,277.0,6,2,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,7508916.0
House,468.0,4,4,"Maârif, Casablanca, Grand Casablanca",Casablanca,Casablanca-Settat,21067488.0
House,315.0,5,5,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,10623060.0
House,179.0,4,4,"Sidi Belyout, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,6072396.0
House,242.0,3,3,"Route de Fez, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,8515980.0
Apartment,33.0,3,3,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,1219548.0
House,223.0,6,4,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,6237310.0
House,584.0,4,3,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,17260704.0
House,333.0,1,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,9328995.0
House,452.0,4,4,"Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,16996104.0
Apartment,136.0,3,2,"Anfa, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,6343856.0
House,255.0,4,4,"Aïn Chock, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat,7850430.0
House,470.0,7,7,"Agadir, Souss-Massa 80000",Agadir,Souss-Massa,4030720.0
House,326.0,14,15,"Taroudant, Souss-Massa",Agadir,Souss-Massa,3597736.0
House,135.0,7,7,"MARRAKECH, Marrakesh-Safi",Marrakech,Marrakech-Safi,3390930.0
House,340.0,9,7,"MARRAKECH, Marrakesh-Safi",Marrakech,Marrakech-Safi,10841580.0
House,528.0,5,5,"marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,19869168.0
House,85.0,4,4,"MARRAKECH, Marrakesh-Safi",Marrakech,Marrakech-Safi,2143105.0
House,347.0,10,10,"MARRAKECH, Marrakesh-Safi",Marrakech,Marrakech-Safi,9789217.0
House,266.0,7,7,"Marrakesh, Massachusetts Wayland",Marrakech,Marrakech-Safi,6668088.0
House,587.0,3,2,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,20762190.0
House,555.0,6,6,"Route de Ouarzazate, Marrakech, Marrakech-Safi",Marrakech,Marrakech-Safi,18756780.0
House,550.0,9,6,"Marrakech-Médina, Marrakech, Marrakesh-Safi 40000",Marrakech,Marrakech-Safi,18946400.0
House,483.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,16977933.0
House,196.0,3,3,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,6769252.0
Apartment,116.0,3,1,"Rabat, Rabat",Rabat,Rabat-Salé-Kénitra,4455444.0
House,184.0,9,9,"Essaouira, Marrakesh-Safi",Marrakech,Marrakech-Safi,5098272.0
House,482.0,3,2,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakech-Safi,18866444.0
Apartment,48.0,5,1,"Témara, Skhirat-Témara",Skhirat,Rabat-Salé-Kénitra,540192.0
House,395.0,4,1,"Casablanca, Casablanca",Casablanca,Casablanca-Settat,12952050.0
